,0,1,2,3
0,2016021507542,"Hansen, Finn Edvin",Det smaker av fisk,2000
1,2014062306002,"Lybekk, Else-Marthe Sørlie",Spis smart,2010
2,2009022000059,"Slipher, Beate",Vilt og vakkert,1997
3,2015050548018,,Helt enkelt,2002
4,2010092703025,"Telegin, Marie Louise",Lett og godt fra Hellas,1999
5,2008060904051,,Primitiv kokebok,1989
6,2013062038015,"Wiker, Gøril",Lyst på livet!,2001
7,2010071203013,"Bogø, Jette",Festboken,1999
8,2011021603057,,Sølvskjeen,2008
9,2007112202001,,Krisemat og erstatningsvare,2002
10,2014102848030,"Kirste, Anna","Bær, frukt, grønnsaker",1985
11,2012031308126,"Sedgwick, Ursula",Min første kokebok,1973
12,2010071903019,"Maurer, Anita",Lett og godt fra Indonesia,1998
13,2011041205048,"Deacon, Carol",Festkaker for barn,2001
14,2014033148152,"Andersen, Viggo",Sunt og lekkert,1991
15,2015091406014,"Gran, Liv Skappel",Hva skal vi ha i dag?,2008
16,2008012200034,"Kaspersen, Ardis",Lefser fra hele landet,1993
17,2012121138002,"Kåsin, Britt",Små kokker,1981
18,2008081300043,"Hox, Marianne",Melkefri mat - godt og sunt,1997
19,2008102100073,"Amdahl, Ruth",4H-kokken,2000
20,2008031200059,"Öste, Bengt",Abbor,1995
21,2015121548066,,Liten smak av Frankrike,2003
22,2009011900026,"Rinker, Eva Haukeberg",Tex-Mex,1997
23,2009082501032,"Norum, Kaare R.",Maten en hjertesak,1987
24,2016070648120,"Kaafjeld, Frode",Skje din vilje,2001
25,2014020348015,"Norman, Jill",Urter &amp; krydder,2003
26,2010081903006,"Thoen, Petter",Heftige hamburgere,1998
27,2008111700133,"Lee, Sonja",Sesonger,2001
28,2014102907522,"Roede, Jeanette",Lett mett,2001
29,2016031048112,,Wok,2003
30,2015090348101,,Slank,2003
31,2014103007515,"Boesgaard, Lars",Provence,2001
32,2013061938125,"Johansen, Jahn Otto",Lutefisk,2006
33,2009042204102,"Valmot, Tove",Ti på halv sulten,2000
34,2016011207542,,Cordon bleu trinn-for-trinn desserter,2001
35,2008073000068,"Malmer, Bjørg Alme",Mat og metoder,1981
36,2014020548008,,liten smak av Italia,2003
37,2008090500012,"Hansen, Finn Edvin",Det smaker av vilt,1998
38,2009040100051,"Stevenson, Sonia",Gryteretter fra hele verden,2002
39,2016011448168,"Lawson, Nigella",Nigellas fristelser,2002
40,2010030103017,"Polunin, Miriam",Mat for god helse,1998
41,2014020348054,"Oldenborg, Turid Skjold",Småretter til all slags bruk,2001
42,2016022948129,"Gjelsvik, Erling T.",Fisketorget anbefaler,2001
43,2012112638079,"Johansen, Jahn Otto",Lutefisk,2002
44,2015060208056,"Karlsen, Liv H. Wiborg",Kokeboken uten melk,2006
45,2010050403026,"Strand, Eva",Lettlaget vegetarmat,1997
46,2014062707001,"Lindberg, Karen Elise",Gaver og godt fra kjøkkenhagen,2001
47,2014042407149,"Steer, Gina",Fondue,2001
48,2016052707007,,"Spis godt, sunt og rimelig",2000
49,2015092548001,"Aga, Frode",Frode Agas gjestemat,2000
50,2016020907551,"Finngaard, Kari",Til bords med roser,2002
51,2008090104051,"Kagge, Erling",Mat på tur,1999
52,2014102848109,,Kjøkkenglede,1989
53,2010041303043,"Johansen, Jahn Otto",Lutefisk,1997
54,2013061938036,,Fantastico!,2003
55,2013022238036,,Saus,2001
56,2014042338010,,Sushi,2003
57,2010071903062,"Læssøe, Thomas",store soppboken,1997
58,2014061848065,"Heftye, Guri",Barmen unplugged,2000
59,2016011248086,"Tjersland, Dag",Italia,2003
60,2014063005058,"Karmel, Annabel",Lage mat sammen,2010
61,2011042608064,"Hemmingsson, Elisabeth Ekstrand",Damms beste oppskrifter på glutenfri bakst,2004
62,2007080800084,"Hovig, Ingrid Espelid","Gode, gamle oppskrifter",1991
63,2015082448223,"Hensley, Nina Dreyer",Fantastisk hvitløk,2001
64,2009031900065,"Lillevik, Rune",Mat i sikte,2002
65,2008121500092,"Koefoed, Holger",Lystens kokebok,1998
66,2015090808058,,Øllebrød og hytteklædd,2001
67,2015052748016,"Whiteman, Kate",Frukt,2001
68,2008091100008,"Brimi, Arne",Norges nasjonalretter,1999
69,2016070748145,,Egg,2002
70,2010041603008,"Horndal, Sissel","Ro, ro til fiskeskjær",1998
71,2013073006001,,Gamle matoppskrifter fra Nordland,1983
72,2013022638006,,Antipasti,2003
73,2016042648057,,Cordon bleu trinn-for-trinn hovedretter,2001
74,2011090909011,,Frisk juice og smoothies hele året,2004
75,2011032803018,"Kellermann, Monika",Aschehougs store kokebok,2003
76,2009080404021,"Valente, Gino",Middelhavskost med Gino,2002
77,2013022738059,,Asia,2004
78,2016070748135,,Cordon bleu trinn-for trinn grønnsaker,2001
79,2015102048025,"Lodding, Sissel Keyn",Eksotisk,2002
80,2016070648057,"Caplin, Adam",Kjøkkenhagen,2003
81,2016070448004,,Indisk!,2001
82,2016072248045,,Kaffe,2003
83,2012092106038,"Buen, Marianne Almstrøm",friskere liv,1989
84,2016070648088,"Belgum, Tore",Sukkerbaker'n,2001
85,2015121548056,"Rottem, Øystein",Velbekomme,2001
86,2012091905022,"Karmel, Annabel",Du kan lage mat,2010
87,2008120304052,"Horne, Thomas",Mmm-,2001
88,2015050648073,"Shreeve, Caroline",Fat-burner metoden,2002
89,2012102208075,"Dege, Hroar","Christopher Hammer: Norsk Kogebog, 1793",1994
90,2016022448044,"Debes, Lars Rune",Ikke bare barnemat,2002
91,2008092604056,"Hemmingsson, Elisabeth Ekstrand",Glutenfri mat,2000
92,2016072709097,,Det finnes en fisk som passer for deg-,2001
93,2016070748143,,Pigge poteter,2001
94,2008072804002,"Egge, Kari",Matglede med ferskvannsfisk,1996
95,2013120906053,"Hovig, Ingrid Espelid",Julemat,2006
96,2008100804066,"Hansen, Finn Edvin",Det smaker av fugl,1999
97,2008110500077,"Roux, Michel",Sauser,2001
98,2008091504127,"Hovig, Ingrid Espelid",Julemat,1997
